datetime,precip,level
2022-02-04 11:00:00,0.034,798.0
2022-02-04 12:00:00,0.017,808.0
2022-02-04 13:00:00,0.0,818.0
2022-02-04 14:00:00,0.0,829.0
2022-02-04 15:00:00,0.0,798.0
2022-02-04 16:00:00,0.0,821.0
2022-02-04 17:00:00,0.0,827.0
2022-02-04 18:00:00,0.0,829.0
2022-02-07 06:00:00,0.0396666666666666,849.0
2022-02-07 07:00:00,0.1643333333333333,849.0
2022-02-07 08:00:00,0.017,849.0
2022-02-07 09:00:00,0.0,850.0
2022-02-07 10:00:00,0.0,849.0
2022-02-07 11:00:00,0.0,849.0
2022-02-07 12:00:00,0.0,849.0
2022-02-07 13:00:00,0.0,849.0
2022-02-07 14:00:00,0.0,849.0
2022-02-08 02:00:00,0.017,849.0
2022-02-08 03:00:00,0.034,849.0
2022-02-08 04:00:00,0.017,849.0
2022-02-08 05:00:00,0.017,849.0
2022-02-08 06:00:00,0.0,849.0
2022-02-08 07:00:00,0.017,849.0
2022-02-08 08:00:00,0.0,849.0
2022-02-08 09:00:00,0.017,849.0
2022-02-08 10:00:00,0.0,849.0
2022-02-08 11:00:00,0.0,849.0
2022-02-08 12:00:00,0.0,849.0
2022-02-08 13:00:00,0.0,849.0
2022-02-08 14:00:00,0.0,849.0
2022-02-08 15:00:00,0.0,849.0
2022-02-09 10:00:00,0.017,852.0
2022-02-09 11:00:00,0.017,852.0
2022-02-09 12:00:00,0.0,852.0
2022-02-09 13:00:00,0.0,852.0
2022-02-09 14:00:00,0.0,852.0
2022-02-09 15:00:00,0.0,852.0
2022-02-09 16:00:00,0.0,852.0
2022-02-09 17:00:00,0.0,852.0
2022-02-13 09:00:00,0.272,850.0
2022-02-13 10:00:00,0.0,852.0
2022-02-13 11:00:00,0.0,852.0
2022-02-13 12:00:00,0.0,852.0
2022-02-13 13:00:00,0.0,852.0
2022-02-13 14:00:00,0.0,852.0
2022-02-13 15:00:00,0.0,852.0
2022-02-17 09:00:00,0.0781999999999999,852.0
2022-02-17 10:00:00,0.3468,852.0
2022-02-17 11:00:00,0.017,852.0
2022-02-17 12:00:00,0.0,850.0
2022-02-17 13:00:00,0.0,852.0
2022-02-17 14:00:00,0.0,852.0
2022-02-17 15:00:00,0.0,852.0
2022-02-17 16:00:00,0.0,852.0
2022-02-17 17:00:00,0.0,852.0
2022-02-17 22:00:00,0.5474,852.0
2022-02-17 23:00:00,0.9486,852.0
2022-02-18 00:00:00,16.592,850.0
2022-02-18 01:00:00,4.8076,850.0
2022-02-18 02:00:00,2.4174,850.0
2022-02-18 03:00:00,0.085,852.0
2022-02-18 04:00:00,0.0,802.0
2022-02-18 05:00:00,0.0272,763.0
2022-02-18 06:00:00,0.0918,796.0
2022-02-18 07:00:00,0.017,804.0
2022-02-18 08:00:00,0.0,819.0
2022-02-18 09:00:00,0.0,827.0
2022-02-18 10:00:00,0.0,829.0
2022-02-18 11:00:00,0.0,833.0
2022-02-18 12:00:00,0.0,833.0
2022-02-18 13:00:00,0.0,833.0
2022-02-18 14:00:00,0.017,833.0
2022-02-18 15:00:00,0.0,833.0
2022-02-18 16:00:00,0.0,837.0
2022-02-18 17:00:00,0.0,837.0
2022-02-18 18:00:00,0.0,839.0
2022-02-18 19:00:00,0.0,841.0
2022-02-18 20:00:00,0.0,843.0
2022-02-19 10:00:00,0.034,850.0
2022-02-19 11:00:00,0.0,850.0
2022-02-19 12:00:00,0.0,852.0
2022-02-19 13:00:00,0.0,852.0
2022-02-19 14:00:00,0.0,852.0
2022-02-19 15:00:00,0.0,852.0
2022-02-19 16:00:00,0.0,852.0
2022-02-21 18:00:00,0.3332,852.0
2022-02-21 19:00:00,0.6103,850.0
2022-02-21 20:00:00,0.4335,850.0
2022-02-21 21:00:00,0.017,852.0
2022-02-21 22:00:00,0.0,852.0
2022-02-21 23:00:00,0.0,852.0
2022-02-22 00:00:00,0.0,850.0
2022-02-22 01:00:00,0.119,833.0
2022-02-22 02:00:00,0.0,833.0
2022-02-22 03:00:00,0.0,845.0
2022-02-22 04:00:00,0.017,850.0
2022-02-22 05:00:00,0.017,850.0
2022-02-22 06:00:00,1.02,850.0
2022-02-22 07:00:00,0.238,852.0
2022-02-22 08:00:00,0.0,850.0
2022-02-22 12:00:00,0.0,823.0
2022-02-23 06:00:00,0.4012,850.0
2022-02-23 07:00:00,1.5708,850.0
2022-02-23 08:00:00,2.0286666666666666,850.0
2022-02-23 09:00:00,7.991133333333333,850.0
2022-02-23 10:00:00,1.3362,850.0
2022-02-23 11:00:00,0.017,850.0
2022-02-23 12:00:00,0.0,821.0
2022-02-23 13:00:00,0.0,825.0
2022-02-23 14:00:00,0.0,781.0
2022-02-23 15:00:00,0.017,792.0
2022-02-23 16:00:00,0.0,819.0
2022-02-23 17:00:00,0.0,827.0
2022-02-23 18:00:00,0.0,833.0
2022-02-23 19:00:00,0.0,837.0
2022-02-23 20:00:00,0.0,839.0
2022-02-23 21:00:00,0.0,841.0
2022-02-24 06:00:00,0.051,843.0
2022-02-24 07:00:00,0.0306,843.0
2022-02-24 08:00:00,0.0204,843.0
2022-02-24 09:00:00,0.017,843.0
2022-02-24 10:00:00,0.0,843.0
2022-02-24 11:00:00,0.0,845.0
2022-02-24 12:00:00,0.0,845.0
2022-02-24 13:00:00,0.0,845.0
2022-02-24 14:00:00,0.0,845.0
2022-02-24 15:00:00,0.0,845.0
2022-02-26 21:00:00,0.034,850.0
2022-02-26 22:00:00,0.0,852.0
2022-02-26 23:00:00,0.0,852.0
2022-02-27 00:00:00,0.0,852.0
2022-02-27 01:00:00,0.0,850.0
2022-02-27 02:00:00,0.221,850.0
2022-02-27 03:00:00,0.0,850.0
